record_id,reference_id,amount,currency,transaction_date,counterparty,description
LED-JUDGE-2006,EUR-501-107,11901.82,EUR,2026-08-06,EuroSupply GmbH,Internal ledger entry EUR-501-107 (6020-LOGISTICS_FREIGHT)
LED-JUDGE-2047,STR-772-148,-4390.24,USD,2026-08-25,Stripe Billing,Internal ledger entry STR-772-148 (4010-REVENUE_SALES)
LED-JUDGE-2033,NEX-401-134,865.01,USD,2026-08-25,Nexus Tech Solutions,Internal ledger entry NEX-401-134 (6040-LEGAL_PROFESSIONAL)
LED-JUDGE-2082,ACME-SPLIT-903,8500.0,USD,2026-08-15,Acme Corp,Bulk settlement invoice ACME-SPLIT-903
LED-JUDGE-2025,HT-554-126,-8902.79,USD,2026-08-11,Horizon Telecom,Internal ledger entry HT-554-126 (6060-TELECOM_UTILITIES)
LED-JUDGE-2089,PHANTOM-777,8450.0,USD,2026-08-26,Unidentified Phantom Payee,High risk anomaly test PHANTOM-777
LED-JUDGE-2055,APX-330-156,-6190.54,USD,2026-08-06,Apex Supplies,Internal ledger entry APX-330-156 (6030-OFFICE_SUPPLIES)
LED-JUDGE-2079,EUR-501-180,-16174.12,EUR,2026-08-02,EuroSupply GmbH,Internal ledger entry EUR-501-180 (6020-LOGISTICS_FREIGHT)
LED-JUDGE-2022,INV-2026-123,14827.26,USD,2026-08-28,Acme Corp,Internal ledger entry INV-2026-123 (6010-SOFTWARE_SAAS)
LED-JUDGE-2038,PIN-009-139,-17116.57,USD,2026-08-03,Pinnacle Legal Services,Internal ledger entry PIN-009-139 (6040-LEGAL_PROFESSIONAL)
LED-JUDGE-2069,SRE-771-170,-11537.0,USD,2026-08-27,Summit Real Estate,Internal ledger entry SRE-771-170 (6050-REAL_ESTATE_LEASE)
LED-JUDGE-2031,INV-2026-132,-12179.75,USD,2026-08-08,Acme Corp,Internal ledger entry INV-2026-132 (6010-SOFTWARE_SAAS)
LED-JUDGE-2008,INV-2026-109,-16926.43,USD,2026-08-08,Acme Corp,Internal ledger entry INV-2026-109 (6010-SOFTWARE_SAAS)
LED-JUDGE-2072,PIN-009-173,4108.29,USD,2026-08-03,Pinnacle Legal Services,Internal ledger entry PIN-009-173 (6040-LEGAL_PROFESSIONAL)
LED-JUDGE-2016,STR-772-117,13137.82,USD,2026-08-04,Stripe Billing,Internal ledger entry STR-772-117 (4010-REVENUE_SALES)
LED-JUDGE-2062,STR-772-163,-4219.68,USD,2026-08-10,Stripe Billing,Internal ledger entry STR-772-163 (4010-REVENUE_SALES)
LED-JUDGE-2030,STR-772-131,-938.87,USD,2026-08-01,Stripe Billing,Internal ledger entry STR-772-131 (4010-REVENUE_SALES)
LED-JUDGE-2043,LOG-884-144,5610.33,USD,2026-08-22,Global Logistics LLC,Internal ledger entry LOG-884-144 (6020-LOGISTICS_FREIGHT)
LED-JUDGE-2042,NEX-401-143,7846.2,USD,2026-08-19,Nexus Tech Solutions,Internal ledger entry NEX-401-143 (6040-LEGAL_PROFESSIONAL)
LED-JUDGE-2045,VNG-112-146,13694.8,USD,2026-08-13,Vanguard Marketing,Internal ledger entry VNG-112-146 (6070-MARKETING_ADVERTISING)
LED-JUDGE-2087,ROUND-10000,10000.0,USD,2026-08-16,Round Number Outlier 1,High risk anomaly test ROUND-10000
LED-JUDGE-2023,APX-330-124,3123.81,USD,2026-08-02,Apex Supplies,Internal ledger entry APX-330-124 (6030-OFFICE_SUPPLIES)
LED-JUDGE-2040,LOG-884-141,10817.51,USD,2026-08-08,Global Logistics LLC,Internal ledger entry LOG-884-141 (6020-LOGISTICS_FREIGHT)
LED-JUDGE-2075,VNG-112-176,16508.21,USD,2026-08-23,Vanguard Marketing,Internal ledger entry VNG-112-176 (6070-MARKETING_ADVERTISING)
LED-JUDGE-2070,VNG-112-171,3121.45,USD,2026-08-05,Vanguard Marketing,Internal ledger entry VNG-112-171 (6070-MARKETING_ADVERTISING)
LED-JUDGE-2018,INV-2026-119,12834.53,USD,2026-08-16,Acme Corp,Internal ledger entry INV-2026-119 (6010-SOFTWARE_SAAS)
LED-JUDGE-2000,CS-991-101,8636.4,USD,2026-08-25,CloudScale Systems,Internal ledger entry CS-991-101 (6010-SOFTWARE_SAAS)
LED-JUDGE-2024,LOG-884-125,-2494.93,USD,2026-08-03,Global Logistics LLC,Internal ledger entry LOG-884-125 (6020-LOGISTICS_FREIGHT)
LED-JUDGE-2099,LED-ORPHAN-410,7060.83,USD,2026-08-21,Unmatched Internal Ledger Vendor 10,Internal accrual record LED-ORPHAN-410
LED-JUDGE-2074,VNG-112-175,-7671.34,USD,2026-08-02,Vanguard Marketing,Internal ledger entry VNG-112-175 (6070-MARKETING_ADVERTISING)
LED-JUDGE-2027,HT-554-128,-1662.8,USD,2026-08-20,Horizon Telecom,Internal ledger entry HT-554-128 (6060-TELECOM_UTILITIES)
LED-JUDGE-2084,LOG-SPLIT-905,14200.0,USD,2026-08-23,Global Logistics LLC,Bulk settlement invoice LOG-SPLIT-905
LED-JUDGE-2085,STRUCT-9950,9950.0,USD,2026-08-03,BSA Structuring Suspect 1,High risk anomaly test STRUCT-9950
LED-JUDGE-2026,SRE-771-127,15887.79,USD,2026-08-14,Summit Real Estate,Internal ledger entry SRE-771-127 (6050-REAL_ESTATE_LEASE)
LED-JUDGE-2064,PIN-009-165,-3462.7,USD,2026-08-22,Pinnacle Legal Services,Internal ledger entry PIN-009-165 (6040-LEGAL_PROFESSIONAL)
LED-JUDGE-2044,CS-991-145,17848.35,USD,2026-08-18,CloudScale Systems,Internal ledger entry CS-991-145 (6010-SOFTWARE_SAAS)
LED-JUDGE-2046,VNG-112-147,-2367.07,USD,2026-08-29,Vanguard Marketing,Internal ledger entry VNG-112-147 (6070-MARKETING_ADVERTISING)
LED-JUDGE-2061,HT-554-162,3080.82,USD,2026-08-14,Horizon Telecom,Internal ledger entry HT-554-162 (6060-TELECOM_UTILITIES)
LED-JUDGE-2020,LOG-884-121,7561.12,USD,2026-08-23,Global Logistics LLC,Internal ledger entry LOG-884-121 (6020-LOGISTICS_FREIGHT)
LED-JUDGE-2066,IND-303-167,-12321.61,INR,2026-08-08,Bharat Tech Services,Internal ledger entry IND-303-167 (6040-LEGAL_PROFESSIONAL)
LED-JUDGE-2098,LED-ORPHAN-409,7103.25,USD,2026-08-27,Unmatched Internal Ledger Vendor 9,Internal accrual record LED-ORPHAN-409
LED-JUDGE-2034,LOG-884-135,-666.78,USD,2026-08-20,Global Logistics LLC,Internal ledger entry LOG-884-135 (6020-LOGISTICS_FREIGHT)
LED-JUDGE-2077,INV-2026-178,17836.25,USD,2026-08-03,Acme Corp,Internal ledger entry INV-2026-178 (6010-SOFTWARE_SAAS)
LED-JUDGE-2076,UKT-902-177,3138.33,GBP,2026-08-10,UK Telecom Ltd,Internal ledger entry UKT-902-177 (6060-TELECOM_UTILITIES)
LED-JUDGE-2009,CS-991-110,11635.67,USD,2026-08-25,CloudScale Systems,Internal ledger entry CS-991-110 (6010-SOFTWARE_SAAS)
LED-JUDGE-2088,ROUND-25000,25000.0,USD,2026-08-22,Round Number Outlier 2,High risk anomaly test ROUND-25000
LED-JUDGE-2081,STR-SPLIT-902,25000.0,USD,2026-08-10,Stripe Billing,Bulk settlement invoice STR-SPLIT-902
LED-JUDGE-2028,HT-554-129,15740.08,USD,2026-08-27,Horizon Telecom,Internal ledger entry HT-554-129 (6060-TELECOM_UTILITIES)
LED-JUDGE-2048,INV-2026-149,4353.14,USD,2026-08-04,Acme Corp,Internal ledger entry INV-2026-149 (6010-SOFTWARE_SAAS)
LED-JUDGE-2093,LED-ORPHAN-404,9698.13,USD,2026-08-06,Unmatched Internal Ledger Vendor 4,Internal accrual record LED-ORPHAN-404
LED-JUDGE-2054,STR-772-155,-16340.01,USD,2026-08-23,Stripe Billing,Internal ledger entry STR-772-155 (4010-REVENUE_SALES)
LED-JUDGE-2083,APX-SPLIT-904,-6400.0,USD,2026-08-19,Apex Supplies,Bulk settlement invoice APX-SPLIT-904
LED-JUDGE-2002,NEX-401-103,5057.35,USD,2026-08-22,Nexus Tech Solutions,Internal ledger entry NEX-401-103 (6040-LEGAL_PROFESSIONAL)
LED-JUDGE-2007,IND-303-108,15789.85,INR,2026-08-06,Bharat Tech Services,Internal ledger entry IND-303-108 (6040-LEGAL_PROFESSIONAL)
LED-JUDGE-2065,VNG-112-166,-2434.47,USD,2026-08-26,Vanguard Marketing,Internal ledger entry VNG-112-166 (6070-MARKETING_ADVERTISING)
LED-JUDGE-2004,VNG-112-105,7003.63,USD,2026-08-14,Vanguard Marketing,Internal ledger entry VNG-112-105 (6070-MARKETING_ADVERTISING)
LED-JUDGE-2017,STR-772-118,-9822.43,USD,2026-08-07,Stripe Billing,Internal ledger entry STR-772-118 (4010-REVENUE_SALES)
LED-JUDGE-2092,LED-ORPHAN-403,6464.34,USD,2026-08-12,Unmatched Internal Ledger Vendor 3,Internal accrual record LED-ORPHAN-403
LED-JUDGE-2071,IND-303-172,7544.88,INR,2026-08-14,Bharat Tech Services,Internal ledger entry IND-303-172 (6040-LEGAL_PROFESSIONAL)
LED-JUDGE-2014,IND-303-115,-9256.05,INR,2026-08-19,Bharat Tech Services,Internal ledger entry IND-303-115 (6040-LEGAL_PROFESSIONAL)
LED-JUDGE-2060,NEX-401-161,18044.58,USD,2026-08-01,Nexus Tech Solutions,Internal ledger entry NEX-401-161 (6040-LEGAL_PROFESSIONAL)
LED-JUDGE-2086,STRUCT-9980,9980.0,USD,2026-08-12,BSA Structuring Suspect 2,High risk anomaly test STRUCT-9980
LED-JUDGE-2091,LED-ORPHAN-402,5755.08,USD,2026-08-08,Unmatched Internal Ledger Vendor 2,Internal accrual record LED-ORPHAN-402
LED-JUDGE-2073,SRE-771-174,-14723.97,USD,2026-08-09,Summit Real Estate,Internal ledger entry SRE-771-174 (6050-REAL_ESTATE_LEASE)
LED-JUDGE-2094,LED-ORPHAN-405,1541.09,USD,2026-08-18,Unmatched Internal Ledger Vendor 5,Internal accrual record LED-ORPHAN-405
LED-JUDGE-2095,LED-ORPHAN-406,9532.23,USD,2026-08-12,Unmatched Internal Ledger Vendor 6,Internal accrual record LED-ORPHAN-406
LED-JUDGE-2049,EUR-501-150,-16411.12,EUR,2026-08-24,EuroSupply GmbH,Internal ledger entry EUR-501-150 (6020-LOGISTICS_FREIGHT)
LED-JUDGE-2067,NEX-401-168,-15554.84,USD,2026-08-02,Nexus Tech Solutions,Internal ledger entry NEX-401-168 (6040-LEGAL_PROFESSIONAL)
LED-JUDGE-2037,UKT-902-138,8401.42,GBP,2026-08-07,UK Telecom Ltd,Internal ledger entry UKT-902-138 (6060-TELECOM_UTILITIES)
LED-JUDGE-2039,HT-554-140,10918.97,USD,2026-08-19,Horizon Telecom,Internal ledger entry HT-554-140 (6060-TELECOM_UTILITIES)
LED-JUDGE-2052,SRE-771-153,13162.21,USD,2026-08-15,Summit Real Estate,Internal ledger entry SRE-771-153 (6050-REAL_ESTATE_LEASE)
