record_id,reference_id,amount,currency,transaction_date,counterparty,description
BNK-JUDGE-7104,BNK-ORPHAN-809,4577.62,USD,2026-08-06,UNIDENTIFIED DIRECT BANK PAYEE 9,DIRECT BANK DEBIT BNK-ORPHAN-809
BNK-JUDGE-7068,IND-303-169,-1605.15,INR,2026-08-02,BHARAT TECH BANGALORE,BANK STATEMENT POSTING BHARAT TECH BANGALORE IND-303-169
BNK-JUDGE-7001,HT-554-102,9500.29,USD,2026-08-04,HORIZON TEL & COMM,BANK STATEMENT POSTING HORIZON TEL & COMM HT-554-102
BNK-JUDGE-7033,NEX-401-134,839.92,USD,2026-08-25,NEXUS TECH SOL,BANK STATEMENT POSTING NEXUS TECH SOL NEX-401-134
BNK-JUDGE-7058,LOG-884-159,8346.77,USD,2026-08-25,GLOBAL LOGISTICS INC,BANK STATEMENT POSTING GLOBAL LOGISTICS INC LOG-884-159
BNK-JUDGE-7094,EUR-501-116,10932.68,EUR,2026-08-11,EUROSUPPLY GMBH FRA,BANK STATEMENT POSTING EUROSUPPLY GMBH FRA EUR-501-116 (DUPLICATE POSTING)
BNK-JUDGE-7053,VNG-112-154,-16309.39,USD,2026-08-04,VANGUARD MKTG AGENCY,BANK STATEMENT POSTING VANGUARD MKTG AGENCY VNG-112-154
BNK-JUDGE-7063,HT-554-164,-4991.66,USD,2026-08-01,HORIZON TEL & COMM,BANK STATEMENT POSTING HORIZON TEL & COMM HT-554-164
BNK-JUDGE-7024,LOG-884-125,-2494.93,USD,2026-08-03,GLOBAL LOGISTICS INC,BANK STATEMENT POSTING GLOBAL LOGISTICS INC LOG-884-125
BNK-JUDGE-7040,LOG-884-141,10817.51,USD,2026-08-08,GLOBAL LOGISTICS INC,BANK STATEMENT POSTING GLOBAL LOGISTICS INC LOG-884-141
BNK-JUDGE-7028,HT-554-129,15740.08,USD,2026-08-27,HORIZON TEL & COMM,BANK STATEMENT POSTING HORIZON TEL & COMM HT-554-129
BNK-JUDGE-7086,APX-SPLIT-904-PART1,-3000.0,USD,2026-08-19,APEX SUPPLIES,Partial payout 1 of APX-SPLIT-904
BNK-JUDGE-7087,APX-SPLIT-904-PART2,-3400.0,USD,2026-08-20,APEX SUPPLIES,Partial payout 2 of APX-SPLIT-904
BNK-JUDGE-7006,EUR-501-107,11901.82,EUR,2026-08-04,EUROSUPPLY GMBH FRA,BANK STATEMENT POSTING EUROSUPPLY GMBH FRA EUR-501-107
BNK-JUDGE-7025,HT-554-126,-8902.79,USD,2026-08-13,HORIZON TEL & COMM,BANK STATEMENT POSTING HORIZON TEL & COMM HT-554-126
BNK-JUDGE-7004,VNG-112-105,7003.63,USD,2026-08-15,VANGUARD MKTG AGENCY,BANK STATEMENT POSTING VANGUARD MKTG AGENCY VNG-112-105
BNK-JUDGE-7019,LOG-884-120,13391.94,USD,2026-08-07,GLOBAL LOGISTICS INC,BANK STATEMENT POSTING GLOBAL LOGISTICS INC LOG-884-120
BNK-JUDGE-7055,APX-330-156,-6190.54,USD,2026-08-09,APEX SUP & MAT,BANK STATEMENT POSTING APEX SUP & MAT APX-330-156
BNK-JUDGE-7073,SRE-771-174,-14723.97,USD,2026-08-09,SUMMIT REALTY LEASE,BANK STATEMENT POSTING SUMMIT REALTY LEASE SRE-771-174
BNK-JUDGE-7098,BNK-ORPHAN-803,-3573.11,USD,2026-08-28,UNIDENTIFIED DIRECT BANK PAYEE 3,DIRECT BANK DEBIT BNK-ORPHAN-803
BNK-JUDGE-7078,STR-772-179,-11709.29,USD,2026-08-16,STRIPE TRANSFER,BANK STATEMENT POSTING STRIPE TRANSFER STR-772-179
BNK-JUDGE-7077,INV 2026 178,17836.25,USD,2026-08-03,ACME CORP INC,BANK STATEMENT POSTING ACME CORP INC INV 2026 178
BNK-JUDGE-7065,VNG-112-166,-2434.47,USD,2026-08-26,VANGUARD MKTG AGENCY,BANK STATEMENT POSTING VANGUARD MKTG AGENCY VNG-112-166
BNK-JUDGE-7010,SRE-771-111,-14392.89,USD,2026-08-17,SUMMIT REALTY LEASE,BANK STATEMENT POSTING SUMMIT REALTY LEASE SRE-771-111
BNK-JUDGE-7012,HT 554 113,14147.4,USD,2026-08-27,HORIZON TEL & COMM,BANK STATEMENT POSTING HORIZON TEL & COMM HT 554 113
BNK-JUDGE-7009,CS-991-110,11635.67,USD,2026-08-28,CLOUDSCALE SYS PROV,BANK STATEMENT POSTING CLOUDSCALE SYS PROV CS-991-110
BNK-JUDGE-7089,LOG-SPLIT-905-PART2,8000.0,USD,2026-08-24,GLOBAL LOGISTICS LLC,Partial payout 2 of LOG-SPLIT-905
BNK-JUDGE-7005,PIN-009-106,-5282.96,USD,2026-08-26,PINNACLE LEGAL LAW,BANK STATEMENT POSTING PINNACLE LEGAL LAW PIN-009-106
BNK-JUDGE-7103,BNK-ORPHAN-808,3802.4,USD,2026-08-05,UNIDENTIFIED DIRECT BANK PAYEE 8,DIRECT BANK DEBIT BNK-ORPHAN-808
BNK-JUDGE-7090,PIN-009-106,-5282.96,USD,2026-08-26,PINNACLE LEGAL LAW,BANK STATEMENT POSTING PINNACLE LEGAL LAW PIN-009-106 (DUPLICATE POSTING)
BNK-JUDGE-7008,INV-2026-109,-16926.28,USD,2026-08-08,ACME CORP INC,BANK STATEMENT POSTING ACME CORP INC INV-2026-109
BNK-JUDGE-7047,STR-772-148,-4390.24,USD,2026-08-25,STRIPE TRANSFER,BANK STATEMENT POSTING STRIPE TRANSFER STR-772-148
BNK-JUDGE-7011,PIN-009-112,-12324.99,USD,2026-08-18,PINNACLE LEGAL LAW,BANK STATEMENT POSTING PINNACLE LEGAL LAW PIN-009-112
BNK-JUDGE-7037,UKT-902-138,8401.42,GBP,2026-08-09,UK TELECOM LONDON,BANK STATEMENT POSTING UK TELECOM LONDON UKT-902-138
BNK-JUDGE-7007,IND-303-108,15789.85,INR,2026-08-06,BHARAT TECH BANGALORE,BANK STATEMENT POSTING BHARAT TECH BANGALORE IND-303-108
BNK-JUDGE-7027,HT-554-128,-1614.58,USD,2026-08-20,HORIZON TEL & COMM,BANK STATEMENT POSTING HORIZON TEL & COMM HT-554-128
BNK-JUDGE-7023,APX-330-124,3123.81,USD,2026-08-02,APEX SUP & MAT,BANK STATEMENT POSTING APEX SUP & MAT APX-330-124
BNK-JUDGE-7088,LOG-SPLIT-905-PART1,6200.0,USD,2026-08-23,GLOBAL LOGISTICS LLC,Partial payout 1 of LOG-SPLIT-905
BNK-JUDGE-7017,STR-772-118,-9822.43,USD,2026-08-07,STRIPE TRANSFER,BANK STATEMENT POSTING STRIPE TRANSFER STR-772-118
BNK-JUDGE-7080,CS-SPLIT-901-PART1,5000.0,USD,2026-08-05,CLOUDSCALE SYSTEMS,Partial payout 1 of CS-SPLIT-901
BNK-JUDGE-7021,EUR-501-122,8949.93,EUR,2026-08-18,EUROSUPPLY GMBH FRA,BANK STATEMENT POSTING EUROSUPPLY GMBH FRA EUR-501-122
BNK-JUDGE-7092,HT-554-129,15740.08,USD,2026-08-27,HORIZON TEL & COMM,BANK STATEMENT POSTING HORIZON TEL & COMM HT-554-129 (DUPLICATE POSTING)
BNK-JUDGE-7091,NEX-401-103,5057.35,USD,2026-08-22,NEXUS TECH SOL,BANK STATEMENT POSTING NEXUS TECH SOL NEX-401-103 (DUPLICATE POSTING)
BNK-JUDGE-7076,UKT-902-177,3138.33,GBP,2026-08-07,UK TELECOM LONDON,BANK STATEMENT POSTING UK TELECOM LONDON UKT-902-177
BNK-JUDGE-7052,SRE-771-153,13162.21,USD,2026-08-15,SUMMIT REALTY LEASE,BANK STATEMENT POSTING SUMMIT REALTY LEASE SRE-771-153
BNK-JUDGE-7066,IND-303-167,-11964.28,INR,2026-08-08,BHARAT TECH BANGALORE,BANK STATEMENT POSTING BHARAT TECH BANGALORE IND-303-167
BNK-JUDGE-7082,STR-SPLIT-902-PART1,10000.0,USD,2026-08-10,STRIPE BILLING,Partial payout 1 of STR-SPLIT-902
BNK-JUDGE-7061,HT-554-162,3080.82,USD,2026-08-14,HORIZON TEL & COMM,BANK STATEMENT POSTING HORIZON TEL & COMM HT-554-162
BNK-JUDGE-7054,STR-772-155,-15866.15,USD,2026-08-23,STRIPE TRANSFER,BANK STATEMENT POSTING STRIPE TRANSFER STR-772-155
BNK-JUDGE-7105,BNK-ORPHAN-810,2510.08,USD,2026-08-28,UNIDENTIFIED DIRECT BANK PAYEE 10,DIRECT BANK DEBIT BNK-ORPHAN-810
BNK-JUDGE-7049,EUR-501-150,-16411.12,EUR,2026-08-24,EUROSUPPLY GMBH FRA,BANK STATEMENT POSTING EUROSUPPLY GMBH FRA EUR-501-150
BNK-JUDGE-7048,INV-2026-149,4353.14,USD,2026-08-04,ACME CORP INC,BANK STATEMENT POSTING ACME CORP INC INV-2026-149
BNK-JUDGE-7003,STR-772-104,15560.01,USD,2026-08-07,STRIPE TRANSFER,BANK STATEMENT POSTING STRIPE TRANSFER STR-772-104
BNK-JUDGE-7097,BNK-ORPHAN-802,-2292.38,USD,2026-08-11,UNIDENTIFIED DIRECT BANK PAYEE 2,DIRECT BANK DEBIT BNK-ORPHAN-802
BNK-JUDGE-7074,VNG-112-175,-7671.34,USD,2026-08-05,VANGUARD MKTG AGENCY,BANK STATEMENT POSTING VANGUARD MKTG AGENCY VNG-112-175
BNK-JUDGE-7035,PIN-009-136,2871.37,USD,2026-08-29,PINNACLE LEGAL LAW,BANK STATEMENT POSTING PINNACLE LEGAL LAW PIN-009-136
BNK-JUDGE-7075,VNG-112-176,16508.21,USD,2026-08-25,VANGUARD MKTG AGENCY,BANK STATEMENT POSTING VANGUARD MKTG AGENCY VNG-112-176
BNK-JUDGE-7071,IND-303-172,7544.63,INR,2026-08-14,BHARAT TECH BANGALORE,BANK STATEMENT POSTING BHARAT TECH BANGALORE IND-303-172
BNK-JUDGE-7038,PIN-009-139,-17116.57,USD,2026-08-01,PINNACLE LEGAL LAW,BANK STATEMENT POSTING PINNACLE LEGAL LAW PIN-009-139
BNK-JUDGE-7062,STR-772-163,-4097.31,USD,2026-08-10,STRIPE TRANSFER,BANK STATEMENT POSTING STRIPE TRANSFER STR-772-163
BNK-JUDGE-7083,STR-SPLIT-902-PART2,15000.0,USD,2026-08-11,STRIPE BILLING,Partial payout 2 of STR-SPLIT-902
BNK-JUDGE-7036,UKT-902-137,6086.1,GBP,2026-08-13,UK TELECOM LONDON,BANK STATEMENT POSTING UK TELECOM LONDON UKT-902-137
BNK-JUDGE-7099,BNK-ORPHAN-804,-1310.46,USD,2026-08-27,UNIDENTIFIED DIRECT BANK PAYEE 4,DIRECT BANK DEBIT BNK-ORPHAN-804
BNK-JUDGE-7079,EUR-501-180,-16174.07,EUR,2026-08-02,EUROSUPPLY GMBH FRA,BANK STATEMENT POSTING EUROSUPPLY GMBH FRA EUR-501-180
BNK-JUDGE-7031,INV-2026-132,-12179.75,USD,2026-08-11,ACME CORP INC,BANK STATEMENT POSTING ACME CORP INC INV-2026-132
BNK-JUDGE-7101,BNK-ORPHAN-806,-1062.27,USD,2026-08-17,UNIDENTIFIED DIRECT BANK PAYEE 6,DIRECT BANK DEBIT BNK-ORPHAN-806
BNK-JUDGE-7022,INV-2026-123,14397.27,USD,2026-08-28,ACME CORP INC,BANK STATEMENT POSTING ACME CORP INC INV-2026-123
BNK-JUDGE-7084,ACME-SPLIT-903-PART1,3500.0,USD,2026-08-15,ACME CORP,Partial payout 1 of ACME-SPLIT-903
BNK-JUDGE-7045,VNG-112-146,13694.8,USD,2026-08-14,VANGUARD MKTG AGENCY,BANK STATEMENT POSTING VANGUARD MKTG AGENCY VNG-112-146
BNK-JUDGE-7051,PIN-009-152,9813.86,USD,2026-08-27,PINNACLE LEGAL LAW,BANK STATEMENT POSTING PINNACLE LEGAL LAW PIN-009-152
BNK-JUDGE-7096,BNK-ORPHAN-801,2051.71,USD,2026-08-16,UNIDENTIFIED DIRECT BANK PAYEE 1,DIRECT BANK DEBIT BNK-ORPHAN-801
BNK-JUDGE-7059,PIN 009 160,3211.54,USD,2026-08-24,PINNACLE LEGAL LAW,BANK STATEMENT POSTING PINNACLE LEGAL LAW PIN 009 160
BNK-JUDGE-7060,NEX-401-161,18044.58,USD,2026-08-02,NEXUS TECH SOL,BANK STATEMENT POSTING NEXUS TECH SOL NEX-401-161
BNK-JUDGE-7050,NEX-401-151,-3964.57,USD,2026-08-02,NEXUS TECH SOL,BANK STATEMENT POSTING NEXUS TECH SOL NEX-401-151
BNK-JUDGE-7018,INV 2026 119,12834.53,USD,2026-08-16,ACME CORP INC,BANK STATEMENT POSTING ACME CORP INC INV 2026 119
BNK-JUDGE-7043,LOG-884-144,5610.33,USD,2026-08-20,GLOBAL LOGISTICS INC,BANK STATEMENT POSTING GLOBAL LOGISTICS INC LOG-884-144
BNK-JUDGE-7030,STR-772-131,-938.87,USD,2026-08-01,STRIPE TRANSFER,BANK STATEMENT POSTING STRIPE TRANSFER STR-772-131
BNK-JUDGE-7100,BNK-ORPHAN-805,3217.19,USD,2026-08-17,UNIDENTIFIED DIRECT BANK PAYEE 5,DIRECT BANK DEBIT BNK-ORPHAN-805
BNK-JUDGE-7029,INV-2026-130,7377.39,USD,2026-08-09,ACME CORP INC,BANK STATEMENT POSTING ACME CORP INC INV-2026-130
BNK-JUDGE-7081,CS-SPLIT-901-PART2,7000.0,USD,2026-08-06,CLOUDSCALE SYSTEMS,Partial payout 2 of CS-SPLIT-901
BNK-JUDGE-7064,PIN-009-165,-3462.7,USD,2026-08-22,PINNACLE LEGAL LAW,BANK STATEMENT POSTING PINNACLE LEGAL LAW PIN-009-165
BNK-JUDGE-7056,SRE-771-157,-3050.34,USD,2026-08-07,SUMMIT REALTY LEASE,BANK STATEMENT POSTING SUMMIT REALTY LEASE SRE-771-157
BNK-JUDGE-7039,HT-554-140,10918.92,USD,2026-08-19,HORIZON TEL & COMM,BANK STATEMENT POSTING HORIZON TEL & COMM HT-554-140
BNK-JUDGE-7085,ACME-SPLIT-903-PART2,5000.0,USD,2026-08-16,ACME CORP,Partial payout 2 of ACME-SPLIT-903
